Edition,Rank,Artist,Song,songid,Released
2004,253,Mott the Hoople,All the Young Dudes,All the Young DudesMott the Hoople,1972
2004,254,AC/DC,Highway to Hell,Highway to HellAC/DC,1979
2004,255,Blondie,Heart of Glass,Heart of GlassBlondie,1979
2004,256,Radiohead,Paranoid Android,Paranoid AndroidRadiohead,1997
2004,257,The Troggs,Wild Thing,Wild ThingThe Troggs,1966
2004,258,The Who,I Can See For Miles,I Can See For MilesThe Who,1967
2004,259,Jeff Buckley,Hallelujah,HallelujahJeff Buckley,1994
2004,260,The Dells,Oh What a Nite,Oh What a NiteThe Dells,1988
2004,261,Stevie Wonder,Higher Ground,Higher GroundStevie Wonder,1973
2004,262,Smokey Robinson and the Miracles,Ooo Baby Baby,Ooo Baby BabySmokey Robinson and the Miracles,1965
2004,263,The Crystals,He's A Rebel,He's A RebelThe Crystals,1962
2004,264,Randy Newman,Sail Away,Sail AwayRandy Newman,1972
2004,265,Archie Bell and The Drells,Tighten Up,Tighten UpArchie Bell and The Drells,1991
2004,266,The Ronettes,Walking in the Rain,Walking in the RainThe Ronettes,1964
2004,267,New York Dolls,Personality Crisis,Personality CrisisNew York Dolls,1973
2004,268,U2,Sunday Bloody Sunday [Live],Sunday Bloody Sunday [Live]U2,1983
2004,269,The Modern Lovers,Roadrunner,RoadrunnerThe Modern Lovers,1976
2004,270,George Jones,He Stopped Loving Her Today,He Stopped Loving Her TodayGeorge Jones,2005
2004,271,The Beach Boys,Sloop John B,Sloop John BThe Beach Boys,1966
2004,272,Chuck Berry,Sweet Little Sixteen,Sweet Little SixteenChuck Berry,1958
2004,273,The Beatles,Something,SomethingThe Beatles,1969
2004,274,Jefferson Airplane,Somebody to Love,Somebody to LoveJefferson Airplane,1967
2004,275,Bruce Springsteen,Born in the U.S.A.,Born in the U.S.A.Bruce Springsteen,1984
2004,276,The Staple Singers,I'll Take You There,I'll Take You ThereThe Staple Singers,1989
2004,277,David Bowie,Ziggy Stardust,Ziggy StardustDavid Bowie,1972
2004,278,The Cure,Pictures of You,Pictures of YouThe Cure,1989
2004,279,The Dixie Cups,Chapel of Love,Chapel of LoveThe Dixie Cups,1964
2004,280,Bill Withers,Ain't No Sunshine,Ain't No SunshineBill Withers,2002
2004,281,Stevie Wonder,You Are the Sunshine of My Life,You Are the Sunshine of My LifeStevie Wonder,1973
2004,282,Joni Mitchell,Help Me,Help MeJoni Mitchell,1974
2004,283,Blondie,Call Me,Call MeBlondie,1980
2004,284,Elvis Costello,"(What's So Funny About) Peace, Love and Understanding","(What's So Funny About) Peace, Love and UnderstandingElvis Costello",1999
2004,285,Howlin' Wolf,Smokestack Lightnin,Smokestack LightninHowlin' Wolf,2003
2004,286,Pavement,Summer Babe (Winter Version),Summer Babe (Winter Version)Pavement,1992
2004,287,Run-DMC,Walk This Way,Walk This WayRun-DMC,1986
2004,288,Barrett Strong,Money (That's What I Want),Money (That's What I Want)Barrett Strong,1978
2004,289,The Beatles,Can't Buy Me Love,Can't Buy Me LoveThe Beatles,1966
2004,290,Eminem,Stan,StanEminem,2005
2004,291,The Zombies,She's Not There,She's Not ThereThe Zombies,1964
2004,292,The Clash,Train in Vain,Train in VainThe Clash,1980
2004,293,Al Green,Tired of Being Alone,Tired of Being AloneAl Green,1971
2004,294,Led Zeppelin,Black Dog,Black DogLed Zeppelin,1971
2004,295,The Rolling Stones,Street Fighting Man,Street Fighting ManThe Rolling Stones,1968
2004,296,Bob Marley and the Wailers,"Get Up, Stand Up","Get Up, Stand UpBob Marley and the Wailers",1975
