,id,title,all_artists,popularity,release_date,explicit,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
932,1YT8xkroYGNLGR4qhuWLC4,Number 9,Moon Hooch,44,2013-06-25,False,0.546,0.771,3,-7.56,0,0.0117,0.351,0.335,0.701,130.224,265947,4
933,4xGHFjCxcSihrTwcaJnIwM,Nemesis,The Motet,0,2009-09-24,False,0.693,0.735,1,-9.183,1,0.000518,0.878,0.243,0.751,103.992,369907,4
934,02xHmLCnW23FQoeYgTHjFU,Torture,Eric Krasno,20,2016-07-08,False,0.542,0.674,9,-8.127,0,0.0246,0.202,0.384,0.475,89.37,213376,4
935,5NbHJWUovavaCRHhEAMmXr,Light Will Keep Your Heart Beating in the Future,Mike Doughty,28,2014-09-16,False,0.561,0.979,9,-3.565,1,0.058,0.00335,0.23,0.791,159.931,195187,4
936,5ObRCQ2goReLpK2BmunK9h,Where I'm Going,The Wild Reeds,43,2014-08-09,False,0.486,0.394,9,-7.086,1,0.163,0.000575,0.0939,0.326,127.07,251907,3
937,1aOqj3ulC9sgT3P4KasQPy,Lay Me Down,Fortunate Ones,0,2015-02-10,False,0.661,0.558,10,-5.882,0,0.263,0.0,0.125,0.694,91.962,233244,4
938,0D2YiuQWzhNpyo31AJmCJF,Feel,Joe Hertler & The Rainbow Seekers,0,2015-01-01,False,0.76,0.491,2,-8.832,1,0.0439,0.0,0.0901,0.686,95.034,211173,4
939,6CMgkytS3ZDvD6xzcestlS,In the Belly of a Whale,Toadies,28,2015-09-18,False,0.639,0.666,4,-7.064,0,0.212,0.00066,0.148,0.442,128.002,230053,4
940,5r70kkAOKzkIxEracwnpr1,Yellow Taxi,Madisen Ward and the Mama Bear,0,2015-05-18,False,0.711,0.493,0,-6.414,1,0.437,0.0,0.131,0.598,118.983,254413,4
941,04IpcDXPleA3v8XM4oB3kR,Mindshift,TAUK,35,2014-08-07,False,0.555,0.705,5,-6.236,0,0.00142,0.684,0.102,0.435,134.015,366524,4
942,3UOlYczxtt70Xj1VplXgj8,All Your Light (Times Like These),Portugal. The Man,48,2011-06-29,False,0.533,0.676,2,-6.469,1,0.0832,0.000224,0.122,0.377,76.444,266093,4
943,0BpCy6DNvTjNgTULJRWFjj,Pot Roast and Kisses,The Reverend Peyton's Big Damn Band,0,2015-02-17,False,0.69,0.815,7,-4.468,1,0.0281,0.0261,0.115,0.928,109.599,301333,4
944,0PtKqyHPMHEu0LyYkI4Guj,Pacing Like Prince,Ryan Montbleau,41,2015-04-21,False,0.746,0.6,1,-8.369,1,0.121,0.0,0.194,0.854,87.975,215234,4
945,0P6VyKuMjtjKB3tK9BzwqM,LOVE 3X - R3HAB Remix,R3HAB,9,2015-01-01,True,0.597,0.859,5,-4.276,0,0.00539,0.00132,0.304,0.214,149.942,257947,4
946,2PXumYrwMjU2lF5yxFVYhs,Losing Side of Twenty Five,American Aquarium,50,2015-02-03,False,0.654,0.612,4,-7.181,1,0.388,0.0,0.152,0.71,135.013,214571,4
947,1TO4RgjyxvQenptaAMqi3w,Mind Of A Junkie,Anders Osborne,0,2012-05-01,False,0.532,0.594,9,-6.638,0,0.182,0.000837,0.116,0.331,112.03,449147,4
948,4AGdWrxY1idAQ3PCE87wv0,Blame It On Me,John Butler Trio,0,2014-01-01,False,0.642,0.77,10,-4.702,0,0.164,0.0124,0.0702,0.628,132.162,368240,4
949,2q7WMhP5z4P5vF4Z7aztNQ,Jack of Diamonds,Scott H. Biram,0,2014-02-04,False,0.411,0.685,2,-8.357,1,0.955,0.0254,0.518,0.609,102.077,252640,4
950,64OcVQq3FBoGm2twUd3044,Homesick,Lawrence,38,2013-01-05,False,0.376,0.713,8,-6.059,1,0.447,0.0,0.106,0.698,81.941,198027,4
951,3dsBMkmBZICB1HaCuPCJFt,Sing Along - Demo,Robert Ellis,0,2014-02-11,False,0.512,0.439,0,-6.523,0,0.834,2.65e-05,0.0872,0.394,77.949,243078,4
952,7uXwbnpGfGRwlB7CWeC6Aw,Dreamcatchers,Odetta Hartman,0,2015-10-02,False,0.502,0.553,0,-8.009,1,0.143,0.168,0.198,0.568,78.942,111186,4
953,5yeM63cXgGvSN2VrcHbv6x,Thousand Mile Night,Jonah Tolchin,0,2016-01-15,False,0.584,0.35,2,-13.942,1,0.228,0.0719,0.0944,0.498,140.652,235173,4
954,5A07AbEYSBQqmvyEhzOHiI,Bound,Jordan Bratton,7,2015-05-12,False,0.712,0.756,0,-5.178,0,0.00413,1.47e-05,0.115,0.579,112.054,216480,4
955,0LDutPcTM5oGqNAU4h6A8t,Blue Ridge Mountain,Hurray For The Riff Raff,0,2014-01-01,False,0.607,0.477,9,-8.585,1,0.911,0.128,0.333,0.873,87.208,153547,4
956,0AXVGjlzkolKVm7ZnD6pqB,Saint Elizabeth,Kaia Kater,35,2016-05-13,False,0.519,0.279,8,-11.821,1,0.929,0.000116,0.0801,0.4,116.159,239093,4
957,7mRyagEJjcU99TBncrGRll,Another Lie,Thomas Lindsey,14,2016-06-24,False,0.588,0.711,4,-7.275,1,0.372,0.0101,0.0979,0.633,114.881,196290,4
958,6jrbUQ2ZNrHTuTjgHYgIpj,Boiling Water,little hurricane,0,2014-04-29,False,0.671,0.715,5,-6.151,1,0.0663,1.45e-06,0.122,0.568,106.169,204893,4
959,4BseeD3XrR1CYz5Yfqzcfs,Sirens (feat. Dirty Heads),Dirty Heads,0,2015-07-17,True,0.476,0.953,1,-3.533,1,0.0261,0.0,0.141,0.543,154.067,195169,4
960,5jROdl6MhcmP3O7h2sVgtw,Parachute,Chris Stapleton,77,2015-05-04,False,0.642,0.762,6,-7.411,1,0.00967,5.72e-05,0.182,0.605,113.038,253200,4
961,2RESEfP5xCZFWl4BSIHpQC,Barely Alive,The Jompson Brothers,49,2010-11-30,False,0.474,0.317,11,-7.336,0,0.0975,0.000319,0.0657,0.247,113.144,290973,3
962,1lGJm1rNNaVYkNFzmksJRi,Something from Outer Space,Vibe Street,40,2014-12-02,False,0.564,0.694,11,-8.197,0,0.125,0.048,0.278,0.776,184.084,362609,4
963,0y1QJc3SJVPKJ1OvFmFqe6,Way down We Go,KALEO,85,2016-06-10,False,0.489,0.505,10,-8.022,0,0.579,0.000333,0.104,0.337,163.255,213707,4
964,0YnwJ2TPNsEHlZMvDSHOVZ,Every Little Bit Hurts,Barton Carroll,0,2013-10-15,False,0.489,0.646,9,-6.013,1,0.438,0.0,0.275,0.704,125.045,226920,4
965,3FGczVFPwt1NiGpN9DMUTz,Girls,ABIR,0,2016-07-07,True,0.516,0.551,4,-4.288,0,0.178,0.0,0.325,0.207,209.789,205090,5
