,id,title,album,all_artists,artist_tags,popularity,release_date,explicit,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
376,7vRriwrloYVaoAe3a9wJHe,"i hate u, i love u (feat. olivia o'brien)",us,"'gnash', ""Olivia O'Brien""","'alt z', 'pop', 'alt z', 'pop'",80,2016-03-25,True,0.492,0.275,6,-13.4,0,0.687,0.0,0.101,0.18,92.6,251034,4
377,2KH16WveTQWT6KOG9Rg6e2,Eye of the Tiger,Rocky IV,'Survivor',"'album rock', 'glam metal', 'hard rock', 'soft rock'",80,1985,False,0.817,0.599,0,-9.249,0,0.132,0.000311,0.0873,0.548,108.873,245640,4
378,40YcuQysJ0KlGQTeGUosTC,"Me, Myself & I",When It's Dark Out,"'G-Eazy', 'Bebe Rexha'","'indie pop rap', 'oakland hip hop', 'pop rap', 'rap', 'dance pop', 'pop'",79,2015-12-04,True,0.756,0.674,0,-6.518,0,0.0184,0.0,0.158,0.389,111.995,251467,4
379,3Dv1eDb0MEgF93GpLXlucZ,Say So,Hot Pink,'Doja Cat',"'dance pop', 'pop'",79,2019-11-07,True,0.787,0.673,11,-4.583,0,0.264,3.35e-06,0.0904,0.779,110.962,237893,4
380,0W4Kpfp1w2xkY3PrV714B7,Ho Hey,The Lumineers,'The Lumineers',"'folk-pop', 'modern rock', 'stomp and holler'",79,2012-04-03,False,0.685,0.466,0,-9.074,1,0.794,2.06e-06,0.0915,0.353,79.936,163133,4
381,6jRq8gaZhMUyy5RclRPcAf,hot girl bummer,everything means nothing,'blackbear','pop',79,2020-08-21,True,0.782,0.559,6,-7.106,0,0.125,0.0,0.385,0.685,129.992,188344,1
382,017PF4Q3l4DBUiWoXk4OWT,Break My Heart,Future Nostalgia,'Dua Lipa',"'dance pop', 'pop', 'uk pop'",79,2020-03-27,False,0.73,0.729,4,-3.434,0,0.167,1.39e-06,0.349,0.467,113.011,221820,4
383,2kJwzbxV2ppxnQoYw4GLBZ,If the World Was Ending (feat. Julia Michaels),If the World Was Ending (feat. Julia Michaels),"'JP Saxe', 'Julia Michaels'","'alt z', 'canadian contemporary r&b', 'singer-songwriter pop', 'pop'",79,2019-10-17,False,0.464,0.473,1,-10.086,1,0.866,0.0,0.109,0.604,75.801,208687,4
384,3BovdzfaX4jb5KFQwoPfAw,Beat It,Thriller,'Michael Jackson',"'r&b', 'soul'",79,1982-11-30,False,0.776,0.711,3,-9.03,0,0.0242,0.000353,0.234,0.901,138.728,258400,4
385,5jsw9uXEGuKyJzs0boZ1bT,Stitches,Handwritten,'Shawn Mendes',"'canadian pop', 'pop', 'viral pop'",79,2015-04-14,False,0.752,0.754,1,-6.684,1,0.0151,0.0,0.0486,0.755,149.789,206880,4
