FIPS,State,Year,Total Population,Labor Force Population,Employed,Unemployed
08,Colorado,1981,"2,190,755   ","1,542,343   ","1,455,221   ","87,122   "
09,Connecticut,1981,"2,403,884   ","1,603,953   ","1,505,424   ","98,529   "
10,Delaware,1981,"444,350   ","287,358   ","264,812   ","22,546   "
11,District of Columbia,1981,"493,044   ","312,403   ","285,072   ","27,331   "
12,Florida,1981,"7,929,606   ","4,549,672   ","4,241,137   ","308,535   "
13,Georgia,1981,"4,021,679   ","2,599,937   ","2,431,781   ","168,156   "
15,Hawaii,1981,"675,608   ","449,922   ","426,625   ","23,297   "
16,Idaho,1981,"669,237   ","430,246   ","397,582   ","32,664   "
17,Illinois,1981,"8,496,349   ","5,574,045   ","5,091,268   ","482,777   "
18,Indiana,1981,"4,020,219   ","2,612,493   ","2,356,868   ","255,625   "
19,Iowa,1981,"2,148,453   ","1,420,794   ","1,328,687   ","92,107   "
20,Kansas,1981,"1,749,786   ","1,177,800   ","1,127,152   ","50,648   "
21,Kentucky,1981,"2,670,911   ","1,664,748   ","1,520,636   ","144,112   "
22,Louisiana,1981,"3,029,265   ","1,834,503   ","1,679,147   ","155,356   "
23,Maine,1981,"835,128   ","512,249   ","475,092   ","37,157   "
24,Maryland,1981,"3,207,735   ","2,180,040   ","2,021,494   ","158,546   "
25,Massachusetts,1981,"4,428,494   ","2,953,474   ","2,763,875   ","189,599   "
26,Michigan,1981,"6,779,929   ","4,299,104   ","3,765,318   ","533,786   "
27,Minnesota,1981,"3,041,286   ","2,141,995   ","2,018,817   ","123,178   "
28,Mississippi,1981,"1,790,247   ","1,051,779   ","962,010   ","89,769   "
29,Missouri,1981,"3,676,179   ","2,313,615   ","2,135,639   ","177,976   "
30,Montana,1981,"581,396   ","382,654   ","356,754   ","25,900   "
31,Nebraska,1981,"1,152,185   ","768,886   ","737,139   ","31,747   "
32,Nevada,1981,"639,945   ","466,537   ","432,301   ","34,236   "
33,New Hampshire,1981,"696,686   ","478,630   ","454,403   ","24,227   "
